date,tweet,language,nlikes,username,nreplies,nretweets,retweet
2021-06-21 12:58:38,La musique peut effacer les larmes des yeux et amener le sourire au cœur.  Bonne fête de la musique. #fetedelamusique  https://t.co/D0iaCgnbrp,fr,2,PExpresse,1,1,False
2021-06-21 10:10:45,Bon début de semaine avec #Payexpresse  https://t.co/gIbutyAOm9,fr,6,PExpresse,0,1,False
2021-06-20 13:24:25,Bonne fête des papas !  https://t.co/aIOMa5B5N7,fr,6,PExpresse,1,1,False
2021-06-19 11:03:00,"Payexpresse un solution simple, rapide et sécurisée ! #payexpresse #fintech #mobilemoney  https://t.co/e3bWmQF7ZY",fr,3,PExpresse,0,2,False
2021-06-18 15:59:04,"« L’option achat de crédit a disparu de mon application Wave. Il reste juste l’option transfert », constate un autre, capture d’écran à l’appui.",fr,4,PExpresse,0,0,False
2021-06-18 15:59:03,"Côte d’Ivoire / Mobile money : Wave fait frémir le marché « Dès leur arrivée sur le marché avec les frais de transaction très faibles, j’ai très vite dit que leurs concurrents ne vont pas se laisser faire, et voilà, ça vient de commencer !»  #mobilemoney #wave #OrangeMoney #MTNCI  https://t.co/E7dsMneO7E",fr,7,PExpresse,1,1,False
2021-06-18 10:57:57,"Pour vos achats en ligne, adoptez Payexpresse  ! #Payexpresse #paiementenligne  https://t.co/HLcogDvRLu",fr,6,PExpresse,0,2,False
2021-06-17 14:09:06,"pour ne citer que ceux-là. Notre preuve la plus emblématique c’est notre programme de production d’énergie renouvelable qui se déploie dans les 18 pays où nous sommes présents.""",fr,7,PExpresse,0,0,False
2021-06-17 14:09:05,"Point d’étape et tour d’horizon des défis à venir avec Alioune Ndiaye, CEO Orange Afrique et Moyen-Orient.  ""Les dispositifs sont nombreux : la modernisation de nos data centers, l’optimisation de nos équipements radio ou l’accélération de nos projets liés au solaire,",fr,6,PExpresse,1,1,False
2021-06-17 14:09:05,"Alioune Ndiaye: ""En ligne avec notre plan Engage 2025 et notre objectif « Net Zéro Carbone » à horizon 2040, Orange Moyen-Orient et Afrique donne le tempo en étant la première entreprise par le nombre de panneaux solaires déployés dans la zone. #Orange #afrique #datacenters  https://t.co/EtFCilVP9E",fr,6,PExpresse,1,1,False
2021-06-17 11:18:21,Innovez avec Payexpesse en facilitant vos transactions entre portemonnaies ! #fintech #servicesfinanciers #Payexpresse  https://t.co/nqpVmSeY2I,fr,7,PExpresse,0,3,False
2021-06-16 11:28:41,"La Tanzanie a pris le relais par la voix de sa présidente. Ce week-end, Samia Suluhu Hassan a demandé aux chefs financiers de la nation est-africaine de se préparer à la cryptomonnaie. Une déclaration qui a donné de l’espoir quant à une réaction en chaîne sur le continent.",fr,7,PExpresse,0,1,False
2021-06-16 11:28:40,"L’Afrique est au centre de l’actualité récente du bitcoin et des autres cryptomonnaies Ce dimanche 13 juin, le bitcoin a atteint son plus haut niveau de valeur depuis le 27 mai (39 000 dollars). L’El-Salvador a donné le ton de cette croissance.  #bitcoin #cryptomonnaie #Afrique  https://t.co/2NC8bXMPZ8",fr,9,PExpresse,1,2,False
2021-06-15 11:51:05,Payexpresse créateur de solutions pour vos services financiers. #Payexpresse #fintech #startup  https://t.co/Ul79XVKiiA,fr,10,PExpresse,0,3,False
2021-06-14 14:34:48,"#Payexpresse, la solution pour vos services financiers  https://t.co/qrQmDz84So #fintech #startup  https://t.co/064sc6ZFTn",fr,7,PExpresse,0,4,False
2021-06-14 10:17:44,"En 2020, il lui a permis de traiter 2,3 milliards de dollars de transactions. Pour Tayo Oviosu, son CEO et fondateur, la startup née en 2009 devrait pouvoir rejoindre ses compatriotes #Paystack, #Interswitch et #Flutterwave d’ici un an ou deux.",fr,5,PExpresse,0,1,False
2021-06-14 10:17:43,Ces grands noms et les 17 millions d’utilisateurs uniques qu’elle affiche prouvent qu’elle en a toutes les chances. Elle a prouvé que son modèle inspiré de celui de #PayPal était très efficace en Afrique.,fr,5,PExpresse,1,1,False
2021-06-14 10:17:43,"La fintech nigériane Paga pressentie comme étant la prochaine licorne africaine Selon le média, la fintech soutenue par le milliardaires Tim Draper et l’ancien de Goldman Sachs Jim O’Neill, aspire à être la prochaine licorne africaine. #Paga #fintech #startup  https://t.co/tpC2aL64cW",fr,7,PExpresse,1,4,False
