,time,text,comments,shares,username,likes,love,solidaire,haha
0,2021-03-12 17:16:00.000000,"Payexpresse est une solution de paiement en ligne simple d’utilisation et sécurisée, elle permet à une entreprise ou particulier de se faire payer via Orange Money, Wari, Paypal, Visa, Mastercard, Poste Cash,…

PAYEXPRESSE.COM
PayExpresse",2,2,Payexpresse.com,166,5,1,0
1,2021-06-07 12:59:31.501925,"Paxful lance une nouvelle solution de crypto-paiement e-commerce à travers le monde.
Paxful est accessible dans la plupart des pays de la planète, à l’exception de quelques dizaines d’îles et petits Etats commePlus le Vatican. Cette présence internationale l’a aidé à atteindre le leadership dans le trading de cryptomonnaies. Fort de sa position, le géant a lancé Paxful Pay. C’est une solution e-commerce qui permet aux entreprises du monde entier de recevoir des bitcoins.

Le service est disponible aujourd’hui et permet aux clients de payer avec près de 400 méthodes de paiement. Pour ce faire, ils échangeront des bitcoins qui seront envoyés au portefeuille numérique du commerçant. Ces derniers peuvent s’inscrire dès à présent pour ajouter Paxful Pay comme option d’achat à leur processus de paiement en ligne. Ils pourront gérer leurs revenus et convertir les bitcoin en devises locales.
#paxful #ecommerce #bitcoin",0,0,Payexpresse.com,7,0,0,0
2,2021-06-07 10:59:34.259358,"Meilleure solution de paiement en ligne.
#Payexpresse #startup #fintech",0,1,Payexpresse.com,6,1,0,0
3,2021-06-06 12:40:00.000000,Nos sincères condoléances au peuple burkinabé - Peace and Love !,0,0,Payexpresse.com,4,0,3,0
4,2021-06-05 11:30:00.000000,#OrangeMoney #wave #Senegal,1,2,Payexpresse.com,10,1,0,0
5,2021-06-05 10:00:00.000000,"Meilleure solution de paiement en ligne.
#Payexpresse #paiementenligne",4,2,Payexpresse.com,11,2,0,0
6,2021-06-04 13:03:00.000000,"Le sommet ouest-africain d’AfricArena se tiendra à Dakar.
AfricArena a annoncé que son Sommet en Afrique de l’Ouest se tiendra à Dakar, au Sénégal, du 22 au 23 juin 2021. Il sera organisé en partenariat avec laPlus Délégation Générale à l’Entreprenariat Rapide des Femmes et des Jeunes (DER/FJ) et #FastTrackTech Africa, le projet de ITC United Nations.

La conférence de deux jours offrira à 20 startups technologiques de la région l’opportunité de présenter leur modèle commercial et de participer à des conférences et des tables rondes d’experts dans les domaines des affaires, de la technologie et de l’investissement en Afrique. Elle sera précédée (la veille) par un bootcamp organisé par Impact Hub.
#startup #fintech #technologie",0,0,Payexpresse.com,12,1,0,0
7,2021-06-04 10:01:00.000000,"La fintech Fable a des plans pour l’Afrique après sa levée de fonds.
Fable Fintech est une startup de traitement des paiements transfrontaliers B2B basée à Mumbai. Ce mercredi, elle a annoncé la levée d’unPlus montant gardé secret, dans le cadre d’un cycle de financement de série A. La société a précisé que ces nouveaux fonds sont principalement destinés à l’expansion de l’empreinte de ses produits sur les marchés d’Asie, d’Amérique du Nord, du Moyen-Orient et d’Afrique.

Une autre partie du capital servira à l’innovation et l’enrichissement du portefeuille produits, ainsi qu’à l’amélioration des capacités d’exécution de la jeune entreprise. Le tour de table a été mené par des investisseurs basés en Inde, notamment le fonds de capital-risque Pentathlon Ventures, les investisseurs boursiers Ashish Kacholia & Lashit Sanghvi et l’ancien banquier de Wall Street Sumeet Kanwar, Les actionnaires existants Paytm et Infibeam Avenues ont injecté aussi de l’argent.
#fable #fintech #startup",0,0,Payexpresse.com,9,2,0,0
8,2021-06-03 12:29:00.000000,"Microsoft et Flintfox vont aider Coca-Cola Afrique à se digitaliser.
Coca-Cola Beverage Africa (CCBA) est né d’une fusion de différentes sociétés. Comme beaucoup de grandes entreprises dans son cas, elle estPlus confrontée à un certain nombre de redondances d’infrastructures, de duplications d’approvisionnement et de lignes de responsabilité floues. Pour régler ce problème, le groupe a fait appel à Flintfox et Microsoft.

Leur expertise en matière de tarification et de gestion des remises va permettre à CCBA de moderniser son utilisation de la technologie et surmonter les défis existants à toutes les étapes de la chaîne d’approvisionnement. Flintfox va étendre les capacités de Microsoft Dynamics 365 et en s’intégrer aux plateformes existantes d’automatisation du commerce électronique et de la force de vente. Cela permettra une tarification hyper rapide en temps réel et contribuera à fournir des prix précis tout au long de la chaîne d’approvisionnement.
#cocacola #Microsoft #flintfox",0,0,Payexpresse.com,9,4,0,0
9,2021-06-03 10:11:00.000000,"Meilleure solution de paiement en ligne.
#Payexpresse #startup #Fintech",0,2,Payexpresse.com,8,5,0,0
